City,State,Zip Code,Latitude,Longitude,Landfill ID,DDRT_ID,main_landfill_ID,geometry,facility_id,facility_label,x,y,PFAS_CT_2020
Saluda,VA,23149,37.5202,-76.6201,2072.0,,2072.0,POINT (-76.6201 37.5202),2072.0,MLF,-76.6201,37.5202,302.684572891
Dublin,VA,24084,37.1975,-80.685,2133.0,,2133.0,POINT (-80.685 37.1975),2133.0,MLF,-80.685,37.1975,200.501933823
Blackstone,VA,23824,37.113699,-78.018805,21198.0,,21198.0,POINT (-78.018805 37.113699),21198.0,MLF,-78.018805,37.113699,65.450308922
Richmond,VA,23231,37.508,-77.376,2075.0,,2075.0,POINT (-77.376 37.508),2075.0,MLF,-77.376,37.508,2870.338551861
Orange,VA,22960,38.245727,-78.033871,12241.0,,12241.0,POINT (-78.033871 38.245727),12241.0,MLF,-78.033871,38.245727,1189.8677085470001
Covington,VA,24426,37.772,-80.0725,10092.0,,10092.0,POINT (-80.0725 37.772),10092.0,MLF,-80.0725,37.772,91.921200681
Dry Fork,VA,24549,36.767,-79.4135,10086.0,,10086.0,POINT (-79.4135 36.767),10086.0,MLF,-79.4135,36.767,479.23757518499997
Farmville,VA,23901,37.285,-78.488,10090.0,,10090.0,POINT (-78.488 37.285),10090.0,MLF,-78.488,37.285,141.358851737
Manassas,VA,20112,38.638,-77.422,1592.0,,1592.0,POINT (-77.422 38.638),1592.0,MLF,-77.422,38.638,4649.096527357
Rustburg,VA,24588,37.278,-79.152,10085.0,,10085.0,POINT (-79.152 37.278),10085.0,MLF,-79.152,37.278,557.181811653
Buena Vista,VA,24416,37.76936,-79.35802,10800.0,,10800.0,POINT (-79.35802 37.76936),10800.0,MLF,-79.35802,37.76936,166.133069013
Harrisonburg,VA,22801,38.399,-78.8811,2131.0,,2131.0,POINT (-78.8811 38.399),2131.0,MLF,-78.8811,38.399,475.95789496
Edinburg,VA,22824,38.8433,-78.5508,2338.0,,2338.0,POINT (-78.5508 38.8433),2338.0,MLF,-78.5508,38.8433,371.8444427
Chester,VA,23831,37.3512,-77.4956,1576.0,,1576.0,POINT (-77.4956 37.3512),1576.0,MLF,-77.4956,37.3512,1135.005814518
Salem,VA,24153,37.29,-80.214,1593.0,,1593.0,POINT (-80.214 37.29),1593.0,MLF,-80.214,37.29,697.457792559
Suffolk,VA,23434,36.759,-76.522,1597.0,,1597.0,POINT (-76.522 36.759),1597.0,MLF,-76.522,36.759,440.322165731
Chase City,VA,23924,36.725,-78.44,20721.0,,20721.0,POINT (-78.44 36.725),20721.0,MLF,-78.44,36.725,158.78350656
Stafford,VA,22554,38.385,-77.4125,1594.0,,1594.0,POINT (-77.4125 38.385),1594.0,MLF,-77.4125,38.385,1119.09675387
North Tazewell,VA,24630,37.185,-81.444,2045.0,,2045.0,POINT (-81.444 37.185),2045.0,MLF,-81.444,37.185,131.922581154
Virginia Beach,VA,23464,36.785,-76.205,1596.0,,1596.0,POINT (-76.205 36.785),1596.0,MLF,-76.205,36.785,3711.540060985
Morrisville,VT,,44.5357,-72.4847,2037.0,,2037.0,POINT (-72.4847 44.5357),2037.0,MLF,-72.4847,44.5357,548.556208333
Newport,VT,5855,44.908583,-72.2215,2041.0,,2041.0,POINT (-72.2215 44.908583),2041.0,MLF,-72.2215,44.908583,136.965422072
Clarkston,WA,99402,46.38551,-117.1097,1604.0,,1604.0,POINT (-117.1097 46.38551),1604.0,MLF,-117.1097,46.38551,617.977748463
Ritzville,WA,99169,47.1346,-118.3969,1605.0,,1605.0,POINT (-118.3969 47.1346),1605.0,MLF,-118.3969,47.1346,67.649055153
Maple Valley,WA,98038,47.442,-122.06,1606.0,,1606.0,POINT (-122.06 47.442),1606.0,MLF,-122.06,47.442,13333.600459096
Zillah,WA,98953,46.478451,-120.268898,1608.0,,1608.0,POINT (-120.268898 46.478451),1608.0,MLF,-120.268898,46.478451,211.232708333
Castle Rock,WA,98611,46.248725,-122.778109,20759.0,,20759.0,POINT (-122.778109 46.248725),20759.0,MLF,-122.778109,46.248725,4469.999021333
Ephrata,WA,98823,47.27,-119.574,1612.0,,1612.0,POINT (-119.574 47.27),1612.0,MLF,-119.574,47.27,262.23164777
East Wenatchee,WA,98802,47.4042,-120.1704,1614.0,,1614.0,POINT (-120.1704 47.4042),1614.0,MLF,-120.1704,47.4042,321.357399241
Holden Village,WA,98816,47.847,-120.0266,1617.0,,1617.0,POINT (-120.0266 47.847),1617.0,MLF,-120.0266,47.847,73.50631658
Richland,WA,99352,46.346,-119.346,1624.0,,1624.0,POINT (-119.346 46.346),1624.0,MLF,-119.346,46.346,931.233478445
Graham,WA,98338,46.971,-122.2905,11040.0,,11040.0,POINT (-122.2905 46.971),11040.0,MLF,-122.2905,46.971,4664.342630468
Okanogan,WA,98840,48.34,-119.621,1621.0,,1621.0,POINT (-119.621 48.34),1621.0,MLF,-119.621,48.34,166.508452284
Roosevelt,WA,99356,45.805,-120.174,1625.0,,1625.0,POINT (-120.174 45.805),1625.0,MLF,-120.174,45.805,14.972751298999999
Ellensburg,WA,98926,46.965,-120.213,1626.0,,1626.0,POINT (-120.213 46.965),1626.0,MLF,-120.213,46.965,144.123919977
Kettles Falls,WA,99141,48.580245,-118.084789,1627.0,,1627.0,POINT (-118.084789 48.580245),1627.0,MLF,-118.084789,48.580245,200.09928176600002
Walla Walla,WA,99362,46.075,-118.41,1628.0,,1628.0,POINT (-118.41 46.075),1628.0,MLF,-118.41,46.075,288.899558724
Yakima,WA,98901,46.60617,-120.4052,1629.0,,1629.0,POINT (-120.4052 46.60617),1629.0,MLF,-120.4052,46.60617,29.612815025000003
